age,mean,sigma
62.7,4.579824,0.116844
62.8,4.590337,0.116141
62.9,4.600856,0.115231
63,4.610949,0.114255
63.1,4.620405,0.113358
63.2,4.628925,0.112285
63.3,4.636265,0.11119
63.4,4.642809,0.110096
63.5,4.648227,0.109062
63.6,4.652864,0.108061
63.7,4.656886,0.107092
63.8,4.660054,0.106096
63.9,4.662699,0.105213
64,4.66445,0.104651
64.1,4.665444,0.104311
64.2,4.666066,0.104113
64.3,4.666275,0.103968
64.4,4.666176,0.103632
64.5,4.665378,0.10332
64.6,4.663553,0.103249
64.7,4.661286,0.103302
64.8,4.6588,0.10356
64.9,4.656163,0.103712
65,4.653317,0.104108
65.1,4.650829,0.104542
65.2,4.648277,0.104798
65.3,4.645679,0.104923
65.4,4.643254,0.104778
65.5,4.641023,0.104388
65.6,4.638543,0.104032
65.7,4.636242,0.103683
65.8,4.634247,0.103183
65.9,4.632215,0.102427
66,4.63016,0.101624
66.1,4.628185,0.100986
66.2,4.626108,0.100447
66.3,4.623479,0.10006
66.4,4.620728,0.099733
66.5,4.618068,0.099575
66.6,4.614895,0.099542
66.7,4.611237,0.099677
66.8,4.607629,0.100051
66.9,4.603771,0.100297
67,4.599702,0.100797
67.1,4.595713,0.101754
67.2,4.59186,0.102995
67.3,4.587957,0.104533
67.4,4.584008,0.106138
67.5,4.579839,0.108018
67.6,4.575588,0.110319
67.7,4.571084,0.113001
67.8,4.565927,0.116028
67.9,4.56038,0.119211
68,4.554294,0.12278
68.1,4.547319,0.12671
68.2,4.539527,0.130824
68.3,4.530869,0.135152
68.4,4.521931,0.139567
68.5,4.512598,0.144157
68.6,4.502922,0.148909
68.7,4.492908,0.153721
68.8,4.482934,0.158625
68.9,4.472834,0.163414
69,4.462112,0.168139
69.1,4.451047,0.172767
69.2,4.439748,0.177182
69.3,4.428343,0.181362
69.4,4.417018,0.185278
69.5,4.405414,0.188976
69.6,4.393876,0.192389
69.7,4.382689,0.195498
69.8,4.371908,0.198256
69.9,4.361367,0.200657
70,4.351256,0.202748
70.1,4.341541,0.204397
70.2,4.332452,0.205749
70.3,4.32373,0.206825
70.4,4.315221,0.207602
70.5,4.307368,0.208108
70.6,4.299857,0.208371
70.7,4.292476,0.208433
70.8,4.285172,0.208352
70.9,4.278004,0.208085
71,4.271219,0.207571
71.1,4.264769,0.206849
71.2,4.258639,0.205917
71.3,4.252988,0.204721
71.4,4.247416,0.20325
71.5,4.242677,0.201585
71.6,4.238765,0.199799
71.7,4.235613,0.197874
71.8,4.233492,0.19573
71.9,4.232093,0.193495
72,4.231859,0.191162
72.1,4.23295,0.188897
72.2,4.234945,0.186734
72.3,4.237886,0.18468
72.4,4.241394,0.182676
72.5,4.245407,0.180821
72.6,4.249846,0.179108
72.7,4.254114,0.177479
72.8,4.257641,0.1759
72.9,4.260531,0.174383
73,4.261822,0.172927
73.1,4.261527,0.171531
73.2,4.259957,0.170244
73.3,4.256766,0.169149
73.4,4.25258,0.168126
73.5,4.246645,0.167257
73.6,4.23883,0.166499
